module	path	planned_action	outcome	rationale
NumStability.Algorithms.AitkenDenominator	NumStability/Algorithms/AitkenDenominator.lean	classify	canonical_in_place	Exact unclassified inventory; dependency wave W02.
NumStability.Algorithms.BlockDotProduct	NumStability/Algorithms/BlockDotProduct.lean	classify	canonical_in_place	Exact unclassified inventory; dependency wave W02.
NumStability.Algorithms.ComplexBackwardError	NumStability/Algorithms/ComplexBackwardError.lean	classify	canonical_in_place	Exact unclassified inventory; dependency wave W02.
NumStability.Algorithms.ContinuedFraction	NumStability/Algorithms/ContinuedFraction.lean	classify	canonical_in_place	Exact unclassified inventory; dependency wave W02.
NumStability.Algorithms.DotProduct	NumStability/Algorithms/DotProduct.lean	classify;document	canonical_in_place	Exact unclassified inventory; dependency wave W02.
NumStability.Algorithms.ExtendedPrecisionDotProduct	NumStability/Algorithms/ExtendedPrecisionDotProduct.lean	classify	canonical_in_place	Exact unclassified inventory; dependency wave W02.
NumStability.Algorithms.GridPoints	NumStability/Algorithms/GridPoints.lean	classify	canonical_in_place	Exact unclassified inventory; dependency wave W02.
NumStability.Algorithms.HighamChapter8	NumStability/Algorithms/HighamChapter8.lean	classify;migrate;rename	split_with_compatibility	Exact unclassified inventory; dependency wave W02.
NumStability.Algorithms.HighamChapter8FanInClosure	NumStability/Algorithms/HighamChapter8FanInClosure.lean	classify;document;migrate;rename	split_with_compatibility	Exact unclassified inventory; dependency wave W02.
NumStability.Algorithms.IterativeRefinement	NumStability/Algorithms/IterativeRefinement.lean	classify;document;split	split_with_compatibility	Exact unclassified inventory; dependency wave W02.
NumStability.Algorithms.LU.Doolittle	NumStability/Algorithms/LU/Doolittle.lean	classify;document;split	split_with_compatibility	Exact unclassified inventory; dependency wave W02.
NumStability.Algorithms.LU.GaussianElimination	NumStability/Algorithms/LU/GaussianElimination.lean	classify;document	canonical_in_place	Exact unclassified inventory; dependency wave W02.
NumStability.Algorithms.LU.GrowthFactor	NumStability/Algorithms/LU/GrowthFactor.lean	classify;document	canonical_in_place	Exact unclassified inventory; dependency wave W02.
NumStability.Algorithms.LU.LUSolve	NumStability/Algorithms/LU/LUSolve.lean	classify;document	canonical_in_place	Exact unclassified inventory; dependency wave W02.
NumStability.Algorithms.LU.SpecialMatrices	NumStability/Algorithms/LU/SpecialMatrices.lean	classify;document	canonical_in_place	Exact unclassified inventory; dependency wave W02.
NumStability.Algorithms.LU.Tridiagonal	NumStability/Algorithms/LU/Tridiagonal.lean	classify;document	canonical_in_place	Exact unclassified inventory; dependency wave W02.
NumStability.Algorithms.LU.TridiagonalCond	NumStability/Algorithms/LU/TridiagonalCond.lean	classify;document	canonical_in_place	Exact unclassified inventory; dependency wave W02.
NumStability.Algorithms.LU.TridiagonalRecurrence	NumStability/Algorithms/LU/TridiagonalRecurrence.lean	classify;document	canonical_in_place	Exact unclassified inventory; dependency wave W02.
NumStability.Algorithms.LogExpProduct	NumStability/Algorithms/LogExpProduct.lean	classify	canonical_in_place	Exact unclassified inventory; dependency wave W02.
NumStability.Algorithms.MMatrix	NumStability/Algorithms/MMatrix.lean	classify;document	canonical_in_place	Exact unclassified inventory; dependency wave W02.
NumStability.Algorithms.MatMul	NumStability/Algorithms/MatMul.lean	classify;document	canonical_in_place	Exact unclassified inventory; dependency wave W02.
NumStability.Algorithms.MatMulBackwardError	NumStability/Algorithms/MatMulBackwardError.lean	classify	canonical_in_place	Exact unclassified inventory; dependency wave W02.
NumStability.Algorithms.MatSeqProduct	NumStability/Algorithms/MatSeqProduct.lean	classify	canonical_in_place	Exact unclassified inventory; dependency wave W02.
NumStability.Algorithms.MatVec	NumStability/Algorithms/MatVec.lean	classify;document	canonical_in_place	Exact unclassified inventory; dependency wave W02.
NumStability.Algorithms.NeumaierCompensatedFiniteFormat	NumStability/Algorithms/NeumaierCompensatedFiniteFormat.lean	classify;split	split_with_compatibility	Exact unclassified inventory; dependency wave W02.
NumStability.Algorithms.Norm2	NumStability/Algorithms/Norm2.lean	classify;document	canonical_in_place	Exact unclassified inventory; dependency wave W02.
