module	path	proposed_tier	confidence	source_markers	reusable_markers	public_declaration_count	direct_project_imports	required_action	proposed_canonical_family	cross_lane_dependency	rationale
NumStability.Algorithms.AitkenDenominator	NumStability/Algorithms/AitkenDenominator.lean	source	medium	name_locator=;name_process_word=;located_declarations=0;declarations=21;doc_numbered_refs=3;doc_higham_refs=2;doc_book_refs=5;doc_display_refs=0;source_tier_imports=0	neutral_public_declarations=21;public_declarations=21;definitional_declarations=9;doc_generality_refs=0;reusable_tier_imports=1	21	1	plan_source_extraction	NumStability.Source.Higham.Chapter04	none	Numbered Higham Chapter 04 correspondence: the module documentation frames the file as formalising or auditing printed source material, and 0 of 21 public declarations carry a numbered locator or source process word; the numbered correspondence is carried by the module documentation and statement shapes rather than by declaration names. Proposed canonical destination NumStability.Source.Higham.Chapter04 with an import-only compatibility wrapper preserved at the historical path; 1 direct consumer(s) at the frozen base.
NumStability.Algorithms.BlockDotProduct	NumStability/Algorithms/BlockDotProduct.lean	source	medium	name_locator=;name_process_word=;located_declarations=0;declarations=7;doc_numbered_refs=0;doc_higham_refs=1;doc_book_refs=2;doc_display_refs=0;source_tier_imports=0	neutral_public_declarations=7;public_declarations=7;definitional_declarations=1;doc_generality_refs=0;reusable_tier_imports=1	7	1	plan_source_extraction	NumStability.Source.Higham.Chapter03	none	Numbered Higham Chapter 03 correspondence: the module documentation frames the file as formalising or auditing printed source material, and 0 of 7 public declarations carry a numbered locator or source process word; the numbered correspondence is carried by the module documentation and statement shapes rather than by declaration names. Proposed canonical destination NumStability.Source.Higham.Chapter03 with an import-only compatibility wrapper preserved at the historical path; 1 direct consumer(s) at the frozen base.
NumStability.Algorithms.Ch10ActualSourceClosure	NumStability/Algorithms/Ch10ActualSourceClosure.lean	source	high	name_locator=Ch10;name_process_word=Actual;located_declarations=7;declarations=7;doc_numbered_refs=5;doc_higham_refs=3;doc_book_refs=1;doc_display_refs=0;source_tier_imports=0	neutral_public_declarations=0;public_declarations=7;definitional_declarations=2;doc_generality_refs=0;reusable_tier_imports=1	7	1	plan_source_extraction	NumStability.Source.Higham.Chapter10	none	Numbered Higham Chapter 10 correspondence: the module documentation frames the file as formalising or auditing printed source material, and 7 of 7 public declarations carry a numbered locator or source process word (for example higham10SourceScaledMatrix). Proposed canonical destination NumStability.Source.Higham.Chapter10 with an import-only compatibility wrapper preserved at the historical path; 1 direct consumer(s) at the frozen base.
NumStability.Algorithms.Ch10Ch14Lemma66Op2Bridge	NumStability/Algorithms/Ch10Ch14Lemma66Op2Bridge.lean	source	high	name_locator=Ch10;name_process_word=Bridge;located_declarations=4;declarations=4;doc_numbered_refs=8;doc_higham_refs=6;doc_book_refs=5;doc_display_refs=4;source_tier_imports=1	neutral_public_declarations=0;public_declarations=4;definitional_declarations=0;doc_generality_refs=1;reusable_tier_imports=1	4	2	plan_source_extraction	NumStability.Source.Higham.Chapter10	none	Numbered Higham Chapter 10 correspondence: the module documentation frames the file as formalising or auditing printed source material, and 4 of 4 public declarations carry a numbered locator or source process word (for example lemma66c_rank_le_card). Proposed canonical destination NumStability.Source.Higham.Chapter10 with an import-only compatibility wrapper preserved at the historical path; 1 direct consumer(s) at the frozen base.
NumStability.Algorithms.Ch10ComplexPositiveDefiniteSourceClosure	NumStability/Algorithms/Ch10ComplexPositiveDefiniteSourceClosure.lean	source	high	name_locator=Ch10;name_process_word=SourceClosure;located_declarations=95;declarations=95;doc_numbered_refs=1;doc_higham_refs=0;doc_book_refs=6;doc_display_refs=7;source_tier_imports=0	neutral_public_declarations=0;public_declarations=43;definitional_declarations=28;doc_generality_refs=1;reusable_tier_imports=4	43	4	plan_source_extraction	NumStability.Source.Higham.Chapter10	none	Numbered Higham Chapter 10 correspondence: the module documentation frames the file as formalising or auditing printed source material, and 43 of 43 public declarations carry a numbered locator or source process word (for example higham10_30_relaxedCounterB). Proposed canonical destination NumStability.Source.Higham.Chapter10 with an import-only compatibility wrapper preserved at the historical path; 1 direct consumer(s) at the frozen base.
NumStability.Algorithms.Ch10KahanSharpness	NumStability/Algorithms/Ch10KahanSharpness.lean	source	high	name_locator=Ch10;name_process_word=;located_declarations=11;declarations=14;doc_numbered_refs=3;doc_higham_refs=1;doc_book_refs=3;doc_display_refs=2;source_tier_imports=0	neutral_public_declarations=3;public_declarations=14;definitional_declarations=3;doc_generality_refs=0;reusable_tier_imports=1	14	1	plan_source_extraction	NumStability.Source.Higham.Chapter10	none	Numbered Higham Chapter 10 correspondence: the module documentation frames the file as formalising or auditing printed source material, and 11 of 14 public declarations carry a numbered locator or source process word (for example higham10KahanW). Proposed canonical destination NumStability.Source.Higham.Chapter10 with an import-only compatibility wrapper preserved at the historical path; 2 direct consumer(s) at the frozen base.
NumStability.Algorithms.Ch10KahanSharpnessSource	NumStability/Algorithms/Ch10KahanSharpnessSource.lean	source	high	name_locator=Ch10;name_process_word=;located_declarations=27;declarations=28;doc_numbered_refs=3;doc_higham_refs=2;doc_book_refs=1;doc_display_refs=1;source_tier_imports=0	neutral_public_declarations=0;public_declarations=26;definitional_declarations=7;doc_generality_refs=0;reusable_tier_imports=1	26	1	plan_source_extraction	NumStability.Source.Higham.Chapter10	none	Numbered Higham Chapter 10 correspondence: the module documentation frames the file as formalising or auditing printed source material, and 26 of 26 public declarations carry a numbered locator or source process word (for example higham10KahanFullR). Proposed canonical destination NumStability.Source.Higham.Chapter10 with an import-only compatibility wrapper preserved at the historical path; 1 direct consumer(s) at the frozen base.
NumStability.Algorithms.Ch10Lemma1011Source	NumStability/Algorithms/Ch10Lemma1011Source.lean	source	high	name_locator=Ch10;name_process_word=;located_declarations=7;declarations=7;doc_numbered_refs=1;doc_higham_refs=1;doc_book_refs=1;doc_display_refs=0;source_tier_imports=0	neutral_public_declarations=0;public_declarations=7;definitional_declarations=1;doc_generality_refs=0;reusable_tier_imports=1	7	1	plan_source_extraction	NumStability.Source.Higham.Chapter10	none	Numbered Higham Chapter 10 correspondence: the module documentation frames the file as formalising or auditing printed source material, and 7 of 7 public declarations carry a numbered locator or source process word (for example Higham10_11NoTies). Proposed canonical destination NumStability.Source.Higham.Chapter10 with an import-only compatibility wrapper preserved at the historical path; 2 direct consumer(s) at the frozen base.
NumStability.Algorithms.Ch10PivotedPSDSourceClosure	NumStability/Algorithms/Ch10PivotedPSDSourceClosure.lean	source	high	name_locator=Ch10;name_process_word=SourceClosure;located_declarations=29;declarations=30;doc_numbered_refs=6;doc_higham_refs=1;doc_book_refs=1;doc_display_refs=17;source_tier_imports=0	neutral_public_declarations=1;public_declarations=30;definitional_declarations=15;doc_generality_refs=0;reusable_tier_imports=1	30	1	plan_source_extraction	NumStability.Source.Higham.Chapter10	none	Numbered Higham Chapter 10 correspondence: the module documentation frames the file as formalising or auditing printed source material, and 29 of 30 public declarations carry a numbered locator or source process word (for example higham10CpState). Proposed canonical destination NumStability.Source.Higham.Chapter10 with an import-only compatibility wrapper preserved at the historical path; 1 direct consumer(s) at the frozen base.
NumStability.Algorithms.Ch10Theorem107FailureVacuity	NumStability/Algorithms/Ch10Theorem107FailureVacuity.lean	source	high	name_locator=Ch10;name_process_word=;located_declarations=3;declarations=3;doc_numbered_refs=3;doc_higham_refs=1;doc_book_refs=3;doc_display_refs=0;source_tier_imports=0	neutral_public_declarations=0;public_declarations=3;definitional_declarations=0;doc_generality_refs=0;reusable_tier_imports=1	3	1	plan_source_extraction	NumStability.Source.Higham.Chapter10	none	Numbered Higham Chapter 10 correspondence: the module documentation frames the file as formalising or auditing printed source material, and 3 of 3 public declarations carry a numbered locator or source process word (for example higham10_7_scaled_matrix_spd_of_diag_congruence). Proposed canonical destination NumStability.Source.Higham.Chapter10 with an import-only compatibility wrapper preserved at the historical path; 1 direct consumer(s) at the frozen base.
