name	owner_module	tier	kind	selection_reason	api_status	doc_policy	source_locator	canonical_tests	compatibility_tests	entrypoints	accountable_owner	reviewer_status	rationale	removal_release
higham9_2_RectDoolittleSourceCertificate	NumStability.Source.Higham.Chapter09.DoolittleClosure	source	structure	major-by-default:public-type	major	docstring-required	NumStability/Source/Higham/Chapter09/DoolittleClosure.lean:519	see entrypoints.json isolated_test of the owning chapter root	see compatibility.json	reachable from NumStability.Source (advertised)	primary-human	primary-human/accepted	public type documented in the EVID-05 landing from its surrounding code	n/a
PrefixPrincipalMinor	NumStability.Source.Higham.Chapter11.Bunch.TraceHadamard	source	structure	major-by-default:public-type	major	docstring-required	NumStability/Source/Higham/Chapter11/Bunch/TraceHadamard.lean:430	see entrypoints.json isolated_test of the owning chapter root	see compatibility.json	reachable from NumStability.Source (advertised)	primary-human	primary-human/accepted	public type documented in the EVID-05 landing from its surrounding code	n/a
Higham11ExactRookTrace	NumStability.Source.Higham.Chapter11.Rook.ExactTrace	source	inductive	major-by-default:public-type	major	docstring-required	NumStability/Source/Higham/Chapter11/Rook/ExactTrace.lean:230	see entrypoints.json isolated_test of the owning chapter root	see compatibility.json	reachable from NumStability.Source (advertised)	primary-human	primary-human/accepted	public type documented in the EVID-05 landing from its surrounding code	n/a
Ch14Problem142Method1BStepFamily	NumStability.Source.Higham.Chapter14.Problem02.TriangularInversion.Families	source	structure	major-by-default:public-type	major	docstring-required	NumStability/Source/Higham/Chapter14/Problem02/TriangularInversion/Families.lean:267	see entrypoints.json isolated_test of the owning chapter root	see compatibility.json	reachable from NumStability.Source (advertised)	primary-human	primary-human/accepted	public type documented in the EVID-05 landing from its surrounding code	n/a
Ch14Problem142Method2CStepFamily	NumStability.Source.Higham.Chapter14.Problem02.TriangularInversion.Families	source	structure	major-by-default:public-type	major	docstring-required	NumStability/Source/Higham/Chapter14/Problem02/TriangularInversion/Families.lean:318	see entrypoints.json isolated_test of the owning chapter root	see compatibility.json	reachable from NumStability.Source (advertised)	primary-human	primary-human/accepted	public type documented in the EVID-05 landing from its surrounding code	n/a
WorkspaceOperational	NumStability.Source.Higham.Chapter15.Problem06.TridiagonalInverseNorm.TridiagonalInverseRuns	source	structure	major-by-default:public-type	major	docstring-required	NumStability/Source/Higham/Chapter15/Problem06/TridiagonalInverseNorm/TridiagonalInverseRuns.lean:65	see entrypoints.json isolated_test of the owning chapter root	see compatibility.json	reachable from NumStability.Source (advertised)	primary-human	primary-human/accepted	public type documented in the EVID-05 landing from its surrounding code	n/a
Problem15_6StoredFactorsOperational	NumStability.Source.Higham.Chapter15.Problem06.TridiagonalInverseNorm.TridiagonalInverseRuns	source	structure	major-by-default:public-type	major	docstring-required	NumStability/Source/Higham/Chapter15/Problem06/TridiagonalInverseNorm/TridiagonalInverseRuns.lean:322	see entrypoints.json isolated_test of the owning chapter root	see compatibility.json	reachable from NumStability.Source (advertised)	primary-human	primary-human/accepted	public type documented in the EVID-05 landing from its surrounding code	n/a
Higham23BiniCertificate	NumStability.Source.Higham.Chapter23.BiniLotti.RecursiveAlgebra	source	structure	major-by-default:public-type	major	docstring-required	NumStability/Source/Higham/Chapter23/BiniLotti/RecursiveAlgebra.lean:350	see entrypoints.json isolated_test of the owning chapter root	see compatibility.json	reachable from NumStability.Source (advertised)	primary-human	primary-human/accepted	public type documented in the EVID-05 landing from its surrounding code	n/a
Higham23TwoDotMode	NumStability.Source.Higham.Chapter23.ThreeM	source	inductive	major-by-default:public-type	major	docstring-required	NumStability/Source/Higham/Chapter23/ThreeM.lean:43	see entrypoints.json isolated_test of the owning chapter root	see compatibility.json	reachable from NumStability.Source (advertised)	primary-human	primary-human/accepted	public type documented in the EVID-05 landing from its surrounding code	n/a
<class:reusable/abbrev:1 undocumented>	-	reusable	abbrev	major-by-default	unreviewed-candidate	ratchet:no-new-undocumented	-	-	-	-	primary-human	unreviewed	inherited debt recorded by fingerprint in public-api-baseline.json; API status requires per-row review	-
<class:reusable/def:75 undocumented>	-	reusable	def	major-by-default	unreviewed-candidate	ratchet:no-new-undocumented	-	-	-	-	primary-human	unreviewed	inherited debt recorded by fingerprint in public-api-baseline.json; API status requires per-row review	-
<class:reusable/instance:30 undocumented>	-	reusable	instance	promotion-pending	unreviewed-candidate	ratchet:no-new-undocumented	-	-	-	-	primary-human	unreviewed	inherited debt recorded by fingerprint in public-api-baseline.json; API status requires per-row review	-
